system,dataset,mape_mean_baseline,mae_mean_baseline,rmse_mean_baseline,mape_mean_improved,mae_mean_improved,rmse_mean_improved,mape_difference,mape_improvement_percent,mae_difference,mae_improvement_percent,rmse_difference,rmse_improvement_percent
xz,uiq2-16.bin.csv,1.0858506879428746,32.23416743088093,42.39493358995531,0.06703315476300688,4.8961773818736605,14.91387890971256,1.0188175331798677,93.8266692182145,27.33799004900727,84.81059766047181,27.48105468024275,64.82155378762965
xz,uiq2-4.bin.csv,0.6196825930706763,4.340046409991483,5.9621774667389085,0.02507385492177074,0.25068933127012705,0.4825552710618587,0.5946087381489056,95.95375839144944,4.089357078721355,94.22380989537346,5.47962219567705,91.90639202281581
xz,uiq2-8.bin.csv,0.8258618371628311,12.011688955380983,16.505332580502863,0.0645504891797426,2.174522265196582,6.315593269336043,0.7613113479830885,92.18386341697304,9.8371666901844,81.89661526139966,10.18973931116682,61.7360435572415
xz,vmlinux-5.10.tar.csv,0.2850824655536138,1.8684727356079103,2.2698153328889106,0.021784653452511262,0.16478311992864014,0.3437935728804527,0.26329781210110254,92.35847304385884,1.70368961567927,91.1808656991172,1.926021760008458,84.85367651284261
z3,AUFNIRA_z3.637557.smt2.csv,7.4452134547034445,88.06849353059934,100.08334252015638,0.003959849433227741,0.3199576143328621,0.6154956283174672,7.441253605270217,99.94681348684871,87.74853591626648,99.63669457543101,99.46784689183892,99.38501691408487
z3,LRA_formula_277.smt2.csv,0.11113918591523511,0.31656736732340873,0.3227661662155306,0.003457348881250512,0.009456776153806338,0.01727384900254938,0.1076818370339846,96.88917202984787,0.3071105911696024,97.01271289148853,0.30549231721298126,94.64818471988958
z3,QF_AUFBV_891_sqlite3.smt2.csv,5.380897353725894,10.089861327760582,13.30604129461587,0.01770086021971001,0.5067629184347006,1.5056710223113932,5.363196493506184,99.67104259650198,9.583098409325881,94.97750363485743,11.800370272304477,88.68430520412825
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.1303851519494409,0.9605937538385583,1.1766540115355888,0.004474013015678442,0.03811720231546967,0.056984473618109065,0.12591113893376246,96.5686177077791,0.9224765515230886,96.0319123288953,1.1196695379174797,95.15707480198519
z3,QF_BV_bench_3176.smt2.csv,9.880805003224019,132.55347466517458,152.24825371887138,0.010614065298481886,1.6333649104196135,4.322862165018907,9.870190937925537,99.89257894174595,130.92010975475498,98.76776907240989,147.92539155385248,97.16064909814918
z3,QF_BV_bench_935.smt2.csv,16.79544815763071,93.59159949391504,97.51267375786855,0.007736702204263231,1.034823670700404,2.453375975450591,16.787711455426447,99.95393572037108,92.55677582321464,98.89431992155697,95.05929778241796,97.48404399048424
